,link,title,year,synopsis
1281,/wiki/When_Women_Powder_Twice,When Women Powder Twice,2011–12,"Suzy Hamilton (Im Jung-eun), who was adopted by Americans when she was young, falls in love with Joon-soo (Kang Sung-jin) and gets pregnant. When he abandons her and goes back to South Korea, she follows him and meets a rich woman named Young-woo (Ahn Jae-mo). With her help, she prepares her revenge. During the process, she falls in love with Han Sun-woo (Danny Ahn), Young-woo's brother.
"
1282,/wiki/Where_Stars_Land,Where Stars Land,2018,"It follows the lives of employees at Incheon International Airport.
"
1283,/wiki/Where_Your_Eyes_Linger,Where Your Eyes Linger,2020,"Han Tae-joo, the heir of TB Group, is under the protection of Kang-gook who has been his best friend for fifteen years. The two share a master-servant relationship, with Kang-gook acting as Han Tae-joo's bodyguard. As they grow up, Kang-gook slowly realizes that he likes Han Tae-joo as more than friends, but realises that he has to keep it to himself. He cannot take his eyes off of Han Tae-joo, but neither can he get as close to him as he wants. Han Tae-joo, on the other hand, is a player who has had several girlfriends in the past, and who is confident and assertive. He knows all of Kang Gook's weaknesses, and enjoys pressing his buttons. The two friends share an unnaturally close friendship, often blurring the lines between friends and something more. Kang Gook often looks at Han Tae-joo with lingering looks of longing, and they share many charged moments of unresolved sexual tension. This state of affairs changes when Choi Hye-mi, a new female student, joins their high school and shows interest in Kang-gook. Han Tae-joo is forced to confront his feelings for Kang Gook. Throughout the story, Kang Gook tries to keep Han Tae-joo at arm's length. This leads to several occasions where Han Tae-joo, who is having none of it, pushes Kang Gook's boundaries.
"
1284,/wiki/Which_Star_Are_You_From,Which Star Are You From,2006,"Kim Rae-won plays Choi Seung-hee, a young director who just made a successful international film debut. Following his success in Australia, he meets the girl of his dreams, Lee Hye-su (Jung Ryeo-won), an aspiring musician. After spending a lovestruck romp on Australia, they planned to get married. Hye-su, however, discovers her mother does not approve of Choi. Driving to eat out one day, Seung-hee suddenly proposes to Hye-su, and while putting the ring on her finger, Seung-hee careens wildly on the road to get out the way of a truck. The accident causes Lee's death. Choi then spends the next three years in seclusion, drinking and holing himself up in his apartment.
"
1285,/wiki/While_You_Were_Sleeping_(2011_TV_series),While You Were Sleeping (2011 TV series),2011,"Oh Shin-young (Lee Young-eun) is a hospital cafeteria nutritionist with a bright personality, who is happily married to Yoon Min-joon (Choi Won-young), who works in the sales department of a food company. But while giving birth, Shin-young falls into a vegetative state induced by the hospital's chief obstetrician Go Hyun-sung (Oh Yoon-ah). Hyun-sung is Min-joon's ex-girlfriend who is still in love with him, despite being married to Chae Hyuk-jin (Lee Chang-hoon), the director of a food company and Min-joon's boss. When Hyuk-jin learns of his wife's betrayal, he plans his revenge.
"
1286,/wiki/While_You_Were_Sleeping_(2017_TV_series),While You Were Sleeping (2017 TV series),2017,"While You Were Sleeping is a combination of the legal drama and fantasy genres, focusing on the tale of three young adults who have acquired the ability to see the future through their dreams: field reporter Nam Hong-joo (Bae Suzy), rookie prosecutor Jung Jae-chan (Lee Jong-suk), and police officer Han Woo-tak (Jung Hae-in). Some of these dreams show crimes that Jae-chan has to investigate and others show disastrous events that one or more of them will have to endure. Troubled by these dreams, the trio collaborate with each other to prevent their ominous dreams from turning into reality and to take down their archenemy, the corrupt lawyer Lee Yoo-beom (Lee Sang-yeob).
"
1287,/wiki/Whisper_(TV_series),Whisper (TV series),2017,"Shin Young-joo (Lee Bo-young) is a charismatic female section chief police officer who is passionate in her career. With her family facing financial difficulties, she has to undergo the agony and pay debts for her family. She speaks harsh, but has a heart of gold.
"
1288,/wiki/White_Lie_(TV_series),White Lie (TV series),2008–09,"Seo Eun-young (Shin Eun-kyung) is happily engaged to marry Kang Jung-woo (Kim Yu-seok) until he suddenly dumps her to marry a rich woman, Hong Na-kyung (Im Ji-eun). Eun-young, alone and pregnant, is left behind as her ex-fiancé and his new bride go abroad. Managing to get a job as a nurse at a hospital, she supports herself while five years go by.
"
1289,/wiki/White_Nights_3.98,White Nights 3.98,1998,
1290,/wiki/Who_Are_You%3F_(2008_TV_series),Who Are You? (2008 TV series),2008,"Son Il-gun is a middle-aged deliveryman and devoted father to his daughter, Young-in. Young-in just graduated from high school and is an aspiring cartoonist, but she is working part-time instead of going to college due to financial difficulties, which the quick-tempered young woman partly blames on her ""loser"" father. She has no idea that Il-gun was once a struggling artist in his youth, but now that one of his paintings was sold for an exorbitant amount to a collector in New York, a local gallery offers Il-gun a solo exhibition. But before he can make a decision, Il-gun dies in a traffic accident, leaving Young-in penniless. According to Buddhism, the soul of a dead person is allowed to wander for 49 days in order to let go of all earthly attachments before going to the afterlife. But Il-gun loves his daughter so much that he takes it one step further, and possesses a stranger's body to care for Young-in and make it up to her.
"
1291,/wiki/Who_Are_You%3F_(2013_TV_series),Who Are You? (2013 TV series),2013,"Detective Yang Shi-ohn (So Yi-hyun) wakes up from a six-year coma. She gets reassigned to the lost and found department, where she discovers that she's gained the supernatural ability to see ghosts connected to the objects left behind there. Along with her new partner, rookie cop Cha Gun-woo (Ok Taecyeon) who's a hotheaded skeptic, Shi-ohn uses the information to solve cold cases. Gun-woo only believes in tangible things he can see, hear and touch, but he gradually comes to trust Shi-ohn, and together, the bickering partners help the spirits fulfill their dying wishes and unfinished business before passing on to the afterlife.
"
1292,/wiki/Wife_Returns,Wife Returns,2009–10,"Jung Yoo-hee (Kang Sung-yeon) grew up in an orphanage with her sister, but lost contact with her after she was adopted by foster parents who lived overseas. Her own foster parents stopped communicating with her after a length of time and Yoo-hee life was filled with unhappiness. That is until she met Yoon Sang-woo (Jo Min-ki), a man that swept her off of her feet. The couple ran away to an island and married. Soon they had a daughter, but their daughter became sick due to a heart disorder. Yoo-hee, desperate to save her daughter, turned to her mother-in-law, who offered to pay for her granddaughter's operation under one condition. That condition required Yoo-hee to leave Sang-woo and never come back. Yoo-hee, wanting to save her daughter's life, left Sang-woo. Sang-woo, unaware of the reasons why Yoo-hee left him, eventually remarried Min Seo-hyun (Yoon Se-ah). Han Kang-soo (Kim Mu-yeol) has loved Yoo-hee since they were children. He even proposed to her years before, but Yoo-hee said no and chose Sang-woo. After she leaves Sang-woo, Kang-soo comes back into Yoo-hee's life. They move to Seoul. Yoo-hee still can't forget Sang-woo and on one fateful day, she meets him once again.
"
1293,/wiki/Wild_Romance_(TV_series),Wild Romance (TV series),2012,"Brash, arrogant Park Mu-yeol (Lee Dong-wook) is the star player of the pro baseball team Red Dreamers, renowned for both his skill and his bad temper. Stubborn bodyguard-by-trade Yoo Eun-jae (Lee Si-young) hates him; she's a lifelong fan of the Blue Seagulls, the Red Dreamers' rival team. The two mortal enemies are suddenly thrown together by fate.
"
1294,/wiki/Will_It_Snow_for_Christmas%3F,Will It Snow for Christmas?,2009–10,
1295,/wiki/Witch_at_Court,Witch at Court,2017,"A materialistic female prosecutor who does not hesitate to use personal attacks, fabricate evidence, and incite perjury in order to win her case is assigned to special task force for sex crimes. A newbie prosecutor also joins the task force, and together they solve crimes with a grudging chemistry.
"
1296,/wiki/Witch_Yoo_Hee,Witch Yoo Hee,2007,"Ma Yoo Hee ( is the executive of an advertising company. She would never be caught dead wearing make-up and only dresses in black. Her hairstyle and glasses are very business like looks, her only enjoyment in life appears to be the times when she's criticizing everything and anyone. All of her employees and co-workers fear her and she is constantly talked about when she's not around. Her stern and harsh nature has earned her the nickname 'witch' When it comes to romance she is hopeless. No matter how many blind dates she has, not one has ever led to a second. The reason for this is her negativity and her inability to loosen up and express herself. She is, however, completely oblivious of her faults and cannot comprehend why she is so bad when it comes to love.
"
